Language, files, blank, comment, code
Python, 336, 15609, 18097, 45494
reStructuredText, 84, 3486, 2504, 8614
C, 1, 481, 2113, 6617
Notebook, 32, 0, 17442, 3390
JSON, 1, 0, 0, 3128
YAML, 24, 22, 35, 1658
XML, 10, 0, 0, 398
make, 2, 42, 17, 226
Batch, 1, 21, 1, 148
JavaScript, 2, 6, 11, 78
Cython, 1, 14, 35, 68
Markdown, 4, 18, 0, 56
Shell, 1, 2, 3, 42
CSS, 1, 7, 6, 35
Dockerfile, 1, 13, 8, 24
TOML, 1, 0, 0, 9
SUM, 502, 19721, 40272, 69985
